region_key,region,feature,descriptor,sign,width,lambda,internal_score,internal_mean_specificity_gain,internal_min_specificity_gain,internal_mean_accuracy_gain,internal_min_accuracy_gain,internal_max_sensitivity_loss,internal_min_deesc_n,external_mean_specificity_gain,external_min_specificity_gain,external_mean_accuracy_gain,external_min_accuracy_gain,external_max_sensitivity_loss,external_min_deesc_n
R4_117_128,R4,R4_117_128__endpoint_delta,endpoint_delta,1,0.7,0.4,0.03613271104103341,0.05272285813388831,0.044745057232049947,0.03822629969418959,0.029357798165137616,0.08527131782945736,54,0.01019108280254777,0.006369426751592357,0.007919366450683954,0.004319654427645814,0.0070921985815602835,6
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,-1,0.7,0.4,0.035977077282046126,0.05827263267429761,0.04994797086368366,0.0422018348623853,0.031192660550458662,0.10852713178294573,62,0.01613588110403397,0.007643312101910828,0.011879049676025932,0.005399568034557212,0.02127659574468085,7
R4_117_128,R4,R4_117_128__abs_slope_mean,abs_slope_mean,1,0.5,0.25,0.035938041553892464,0.0346860908775581,0.031217481789802288,0.028134556574923548,0.026605504587155937,0.031007751937984496,31,0.07048832271762208,0.06624203821656051,0.053635709143268574,0.050755939524838034,0.05673758865248227,57
R4_117_128,R4,R4_117_128__curv_mean,curv_mean,-1,0.5,0.25,0.03592275103401478,0.03537981269510926,0.031217481789802288,0.028440366972477055,0.025688073394495414,0.031007751937984496,32,0.041613588110403395,0.04076433121019108,0.03383729301655869,0.03131749460043198,0.02127659574468085,32
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,-1,0.7,0.55,0.0356578486882744,0.06451612903225806,0.05098855359001041,0.04587155963302747,0.03027522935779814,0.12403100775193798,65,0.03651804670912951,0.03184713375796178,0.029517638588912876,0.023758099352051865,0.02127659574468085,28
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,1,0.35,0.25,0.035303140301204336,0.037460978147762745,0.03329864724245578,0.029663608562691124,0.02477064220183489,0.03875968992248062,36,0.04416135881104034,0.04331210191082802,0.03527717782577396,0.03455723542116629,0.02127659574468085,36
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,-1,0.5,0.7,0.035269634958310384,0.0638224072147069,0.05202913631633715,0.04495412844036691,0.031192660550458662,0.12403100775193798,66,0.027600849256900217,0.0267515923566879,0.022678185745140394,0.02051835853131756,0.014184397163120567,21
R4_117_128,R4,R4_117_128__level_mean,level_mean,-1,0.5,0.4,0.03516213656847175,0.03919528269164065,0.031217481789802288,0.030581039755351647,0.022935779816513735,0.03875968992248062,35,0.08577494692144373,0.08152866242038216,0.064434845212383,0.05831533477321815,0.07092198581560284,69
R4_117_128,R4,R4_117_128__abs_curv_max,abs_curv_max,-1,0.5,0.4,0.03502788208149989,0.0475199445022546,0.044745057232049947,0.034862385321100864,0.03027522935779814,0.07751937984496124,53,0.03014861995753716,0.025477707006369428,0.0248380129589633,0.02051835853131745,0.0070921985815602835,21
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,-1,0.5,0.7,0.034963824560756904,0.0638224072147069,0.05202913631633715,0.04464831804281344,0.031192660550458662,0.12403100775193798,66,0.03821656050955414,0.035668789808917196,0.03131749460043195,0.02699784017278617,0.02127659574468085,30
R4_117_128,R4,R4_117_128__abs_curv_max,abs_curv_max,1,0.35,0.25,0.034914926571240304,0.03572667360388484,0.03433922996878252,0.028746177370030563,0.025688073394495414,0.03875968992248062,37,0.04246284501061571,0.04076433121019108,0.032037437005039616,0.029157667386609076,0.03546099290780142,37
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,-1,0.7,0.25,0.03481910504261164,0.04127644814429413,0.036420395421436005,0.03211009174311926,0.025688073394495414,0.05426356589147287,42,0.02335456475583864,0.017834394904458598,0.01979841612670985,0.015118790496760237,0.0,14
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,-1,0.7,0.4,0.034813647922190674,0.054457162677766215,0.046826222684703434,0.04036697247706422,0.029357798165137616,0.10077519379844961,58,0.020806794055201697,0.017834394904458598,0.017278617710583182,0.015118790496760237,0.0070921985815602835,14
