feature,model,cohort,variable,vif,is_added
HTN,clinic4_aec_slope,external,age,1.1990016696127386,False
HTN,clinic4_aec_slope,external,height,3.0411882310838028,False
HTN,clinic4_aec_slope,external,weight,1.7628110119310536,False
HTN,clinic4_aec_slope,external,AEC_slope,1.1930691382070997,True
HTN,clinic4_vat_slope,internal,sex_M,2.6058951530653434,False
HTN,clinic4_vat_slope,internal,age,1.33140550977084,False
HTN,clinic4_vat_slope,internal,height,2.8254938450761626,False
HTN,clinic4_vat_slope,internal,weight,2.161671040180748,False
HTN,clinic4_vat_slope,internal,VAT_slope,1.838236485372968,True
HTN,clinic4_vat_slope,external,sex_M,2.5430552745105426,False
HTN,clinic4_vat_slope,external,age,1.2333192142806468,False
HTN,clinic4_vat_slope,external,height,3.0366195888431373,False
HTN,clinic4_vat_slope,external,weight,1.9766300330864934,False
HTN,clinic4_vat_slope,external,VAT_slope,1.4204588347172666,True
HTN,clinic4_sat_slope,internal,sex_M,2.4367257940222355,False
HTN,clinic4_sat_slope,internal,age,1.3254929554125015,False
HTN,clinic4_sat_slope,internal,height,2.7873446572778855,False
HTN,clinic4_sat_slope,internal,weight,1.8208062793211996,False
HTN,clinic4_sat_slope,internal,SAT_slope,1.170637080450897,True
HTN,clinic4_sat_slope,external,sex_M,2.492173454109595,False
HTN,clinic4_sat_slope,external,age,1.256530451621309,False
HTN,clinic4_sat_slope,external,height,2.9907020300549614,False
HTN,clinic4_sat_slope,external,weight,1.7663515908779566,False
HTN,clinic4_sat_slope,external,SAT_slope,1.161396710501978,True
HTN,clinic4_imata_slope,internal,sex_M,2.3889457606226037,False
HTN,clinic4_imata_slope,internal,age,1.2745684079940034,False
HTN,clinic4_imata_slope,internal,height,2.7860836246951464,False
HTN,clinic4_imata_slope,internal,weight,1.8442579945424236,False
HTN,clinic4_imata_slope,internal,IMATA_slope,1.05259733138957,True
HTN,clinic4_imata_slope,external,sex_M,2.4752613499003444,False
HTN,clinic4_imata_slope,external,age,1.2201155242129633,False
HTN,clinic4_imata_slope,external,height,3.022674452107465,False
HTN,clinic4_imata_slope,external,weight,1.7623805450904735,False
HTN,clinic4_imata_slope,external,IMATA_slope,1.0584780252478643,True
HTN,clinic4_nama_slope,internal,sex_M,2.445589578967259,False
HTN,clinic4_nama_slope,internal,age,1.2866730668918054,False
HTN,clinic4_nama_slope,internal,height,2.8151298134377436,False
HTN,clinic4_nama_slope,internal,weight,1.9207173063345822,False
HTN,clinic4_nama_slope,internal,NAMA_slope,1.4934261988087563,True
HTN,clinic4_nama_slope,external,sex_M,2.5754458080346807,False
HTN,clinic4_nama_slope,external,age,1.1961207444753479,False
HTN,clinic4_nama_slope,external,height,2.983932013572883,False
HTN,clinic4_nama_slope,external,weight,1.772110431271659,False
HTN,clinic4_nama_slope,external,NAMA_slope,1.32662081197571,True
HTN,clinic4_lama_slope,internal,sex_M,2.4632157277578957,False
HTN,clinic4_lama_slope,internal,age,1.454410073271829,False
