feature,model,cohort,n,n_pos,prevalence,auc,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy,sensitivity_std,specificity_std,accuracy_std
HTN,clinic4_imata_fpca_elbow,internal,1259,386,0.30659253375694995,0.8078794626282312,0.01212868081949775,,,0.26414582978367035,0.7826173826173827,0.6678357963875206,0.7029437804338203,0.05337171602372643,0.033507204889648444,0.01301933955180195
HTN,clinic4_imata_fpca_elbow,external,1123,507,0.4514692787177204,0.7308108558108558,,0.7020873518889355,0.7602671466914345,0.26414582978367035,0.777120315581854,0.5422077922077922,0.6482635796972396,,,
HTN,clinic4_imata_uplow_ratio,internal,1259,386,0.30659253375694995,0.7966463946562469,0.014965519431471576,,,0.26414582978367035,0.8033966033966033,0.649543513957307,0.6965819262632011,0.05674607076080134,0.04197538509931738,0.01717327320642365
HTN,clinic4_imata_uplow_ratio,external,1123,507,0.4514692787177204,0.7147884167114935,,0.685602829923501,0.744905094216311,0.26414582978367035,0.7790927021696252,0.5357142857142857,0.6455921638468388,,,
HTN,clinic4_nama_fpca_elbow,internal,1259,386,0.30659253375694995,0.810209394327621,0.013459418735025782,,,0.26414582978367035,0.7878787878787878,0.6816026272577996,0.7140580535002845,0.06644704365142823,0.03268452443789737,0.00794955822414953
HTN,clinic4_nama_fpca_elbow,external,1123,507,0.4514692787177204,0.7227227900304823,,0.6935151825808997,0.7520618146118815,0.26414582978367035,0.8382642998027613,0.4707792207792208,0.6366874443455031,,,
HTN,clinic4_nama_uplow_ratio,internal,1259,386,0.30659253375694995,0.7971402806279654,0.015376875674076442,,,0.26414582978367035,0.8111222111222111,0.6472446633825945,0.6973787390122052,0.0475719385354056,0.036533762665602085,0.017813193653394236
HTN,clinic4_nama_uplow_ratio,external,1123,507,0.4514692787177204,0.7186659494351801,,0.6888149212489497,0.7492125805589458,0.26414582978367035,0.7790927021696252,0.5551948051948052,0.6562778272484416,,,
HTN,clinic4_lama_fpca_elbow,internal,1259,386,0.30659253375694995,0.8030473882986199,0.007629366650000897,,,0.26414582978367035,0.7904428904428904,0.673615763546798,0.7093119585151457,0.05785890129048052,0.035700415780599244,0.019725618668166217
HTN,clinic4_lama_fpca_elbow,external,1123,507,0.4514692787177204,0.7323157611619151,,0.702686834292754,0.7618171169062098,0.26414582978367035,0.8165680473372781,0.512987012987013,0.6500445235975066,,,
HTN,clinic4_lama_uplow_ratio,internal,1259,386,0.30659253375694995,0.797217733552709,0.015760423301973837,,,0.26414582978367035,0.7981684981684982,0.6529655172413793,0.6973787390122052,0.05093342147729965,0.036048077368230895,0.025269536503213036
HTN,clinic4_lama_uplow_ratio,external,1123,507,0.4514692787177204,0.7205550859397013,,0.6910205463313862,0.7516690054558598,0.26414582978367035,0.777120315581854,0.5551948051948052,0.655387355298308,,,
HTN,clinic4_tama_fpca_elbow,internal,1259,386,0.30659253375694995,0.8027033076392682,0.01760313021434137,,,0.26414582978367035,0.7878121878121879,0.6690114942528735,0.7053184089040663,0.05825332357158706,0.03812751930502322,0.009936418410625104
HTN,clinic4_tama_fpca_elbow,external,1123,507,0.4514692787177204,0.7185026511949588,,0.6893527073674535,0.7477125821147121,0.26414582978367035,0.8007889546351085,0.4935064935064935,0.6322350845948352,,,
