feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
HTN,clinic4,internal,Siemens,688,249,0.7970561059728665,0.8232931726907631,0.6287015945330297,0.6991279069767442
HTN,clinic4,internal,Philips,236,78,0.7131613112625771,0.7948717948717948,0.5949367088607594,0.6610169491525424
HTN,clinic4,internal,GE,329,57,0.8332688338493291,0.8245614035087719,0.7205882352941176,0.7386018237082067
HTN,clinic4,internal,Other,6,1,0.6,0.0,0.6,0.5
HTN,clinic4_meanmAs,external,GE,217,109,0.726809378185525,0.48623853211009177,0.8240740740740741,0.6543778801843319
HTN,clinic4_meanmAs,external,Siemens,654,290,0.7162561576354681,0.5758620689655173,0.7445054945054945,0.6697247706422018
HTN,clinic4_meanmAs,external,Philips,228,94,0.7278501111463956,0.574468085106383,0.7388059701492538,0.6710526315789473
HTN,clinic4_meanmAs,external,Other,24,14,0.7142857142857143,0.6428571428571429,0.6,0.625
HTN,clinic4_meanmAs,internal,Siemens,688,249,0.7986295981191279,0.7630522088353414,0.7266514806378133,0.7398255813953488
HTN,clinic4_meanmAs,internal,Philips,236,78,0.7117007465108731,0.5769230769230769,0.7278481012658228,0.6779661016949152
HTN,clinic4_meanmAs,internal,GE,329,57,0.8258513931888545,0.6491228070175439,0.8198529411764706,0.790273556231003
HTN,clinic4_meanmAs,internal,Other,6,1,0.6,0.0,0.8,0.6666666666666666
HTN,clinic4_meanmAs_aec,external,GE,217,109,0.744818212708121,0.6055045871559633,0.7777777777777778,0.6912442396313364
HTN,clinic4_meanmAs_aec,external,Siemens,654,290,0.7255399772641151,0.6,0.7197802197802198,0.6666666666666666
HTN,clinic4_meanmAs_aec,external,Philips,228,94,0.7243569387107018,0.6170212765957447,0.6716417910447762,0.6491228070175439
HTN,clinic4_meanmAs_aec,external,Other,24,14,0.7428571428571429,0.8571428571428571,0.6,0.75
HTN,clinic4_meanmAs_aec,internal,Siemens,688,249,0.8064513177996725,0.8152610441767069,0.6560364464692483,0.7136627906976745
HTN,clinic4_meanmAs_aec,internal,Philips,236,78,0.7284160986692633,0.5256410256410257,0.740506329113924,0.6694915254237288
HTN,clinic4_meanmAs_aec,internal,GE,329,57,0.8344943240454076,0.7017543859649122,0.8125,0.7933130699088146
HTN,clinic4_meanmAs_aec,internal,Other,6,1,0.6,0.0,0.6,0.5
HTN,clinic4_vatsat,external,GE,217,109,0.7523785253143052,0.7431192660550459,0.6203703703703703,0.6820276497695853
HTN,clinic4_vatsat,external,Siemens,654,290,0.7245168624478969,0.7931034482758621,0.5384615384615384,0.6513761467889908
HTN,clinic4_vatsat,external,Philips,228,94,0.7346776754525246,0.7978723404255319,0.582089552238806,0.6710526315789473
HTN,clinic4_vatsat,external,Other,24,14,0.6928571428571428,0.8571428571428571,0.4,0.6666666666666666
HTN,clinic4_vatsat,internal,Siemens,688,249,0.8204663757535837,0.8353413654618473,0.6492027334851936,0.7165697674418605
HTN,clinic4_vatsat,internal,Philips,236,78,0.7478902953586497,0.8205128205128205,0.6075949367088608,0.6779661016949152
HTN,clinic4_vatsat,internal,GE,329,57,0.8328173374613003,0.8771929824561403,0.6764705882352942,0.7112462006079028
HTN,clinic4_vatsat,internal,Other,6,1,0.6,1.0,0.6,0.6666666666666666
HTN,clinic4_vatsat_aec,external,GE,217,109,0.7477064220183486,0.7798165137614679,0.5092592592592593,0.6451612903225806
HTN,clinic4_vatsat_aec,external,Siemens,654,290,0.7296892762410003,0.7965517241379311,0.521978021978022,0.6437308868501529
HTN,clinic4_vatsat_aec,external,Philips,228,94,0.733010479517307,0.8297872340425532,0.5,0.6359649122807017
HTN,clinic4_vatsat_aec,external,Other,24,14,0.6571428571428571,0.8571428571428571,0.4,0.6666666666666666
HTN,clinic4_vatsat_aec,internal,Siemens,688,249,0.8168070916925104,0.8835341365461847,0.5649202733485194,0.6802325581395349
HTN,clinic4_vatsat_aec,internal,Philips,236,78,0.748539435248296,0.8333333333333334,0.5949367088607594,0.673728813559322
HTN,clinic4_vatsat_aec,internal,GE,329,57,0.8307533539731682,0.8771929824561403,0.6470588235294118,0.6869300911854104
HTN,clinic4_vatsat_aec,internal,Other,6,1,0.6,1.0,0.6,0.6666666666666666
