feature,model,section,n,n_pos,prevalence,auc,threshold,tn,fp,fn,tp,sensitivity,specificity,accuracy
DL,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5783708634245628,0.19059199871379848,1392,1122,281,335,0.5438311688311688,0.5536992840095465,0.5517571884984026
DL,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.547576429139675,0.19059199871379848,1240,1274,261,355,0.5762987012987013,0.4932378679395386,0.5095846645367412
DL,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.538463177633822,0.19059199871379848,1160,1354,251,365,0.5925324675324676,0.4614160700079554,0.48722044728434505
DL,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.540005837440205,0.19059199871379848,1180,1334,260,356,0.577922077922078,0.4693715194908512,0.4907348242811502
DL,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5501077085205963,0.19059199871379848,1234,1280,256,360,0.5844155844155844,0.4908512330946698,0.5092651757188499
DL,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.557274716135098,0.19059199871379848,1218,1296,244,372,0.6038961038961039,0.48448687350835323,0.5079872204472844
DL,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5408110684065338,0.19059199871379848,1208,1306,263,353,0.573051948051948,0.4805091487669053,0.4987220447284345
DL,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.545242744526754,0.19059199871379848,1210,1304,260,356,0.577922077922078,0.4813046937151949,0.5003194888178913
DL,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5293299083573546,0.19059199871379848,1229,1285,272,344,0.5584415584415584,0.4888623707239459,0.502555910543131
DL,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.5372827749021066,0.19059199871379848,1210,1304,259,357,0.5795454545454546,0.4813046937151949,0.5006389776357828
DL,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5436045160090506,0.19059199871379848,1189,1325,261,355,0.5762987012987013,0.47295147175815433,0.49329073482428115
DL,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.5438066309188028,0.19059199871379848,1205,1309,258,358,0.5811688311688312,0.479315831344471,0.49936102236421726
DL,clinic4_aec_slope,curve_slope,3130,616,0.19680511182108626,0.5460182717044292,0.19059199871379848,1199,1315,259,357,0.5795454545454546,0.47692919649960225,0.4971246006389776
DL,clinic4_vat_slope,curve_slope,3130,616,0.19680511182108626,0.5678060006818957,0.19059199871379848,1463,1051,295,321,0.5211038961038961,0.5819411296738266,0.5699680511182109
DL,clinic4_sat_slope,curve_slope,3130,616,0.19680511182108626,0.5419578929423798,0.19059199871379848,1184,1330,253,363,0.5892857142857143,0.4709626093874304,0.4942492012779553
DL,clinic4_imata_slope,curve_slope,3130,616,0.19680511182108626,0.5455946698488465,0.19059199871379848,1230,1284,257,359,0.5827922077922078,0.4892601431980907,0.5076677316293929
DL,clinic4_nama_slope,curve_slope,3130,616,0.19680511182108626,0.5470585500418436,0.19059199871379848,1249,1265,264,352,0.5714285714285714,0.4968178202068417,0.5115015974440894
DL,clinic4_lama_slope,curve_slope,3130,616,0.19680511182108626,0.5345726270547273,0.19059199871379848,1206,1308,254,362,0.5876623376623377,0.4797136038186158,0.5009584664536741
DL,clinic4_tama_slope,curve_slope,3130,616,0.19680511182108626,0.548251221729742,0.19059199871379848,1221,1293,253,363,0.5892857142857143,0.48568019093078757,0.5060702875399361
Osteoporosis,clinic4,baseline,3130,159,0.050798722044728434,0.7698506950839245,0.06405639240441598,2138,833,44,115,0.7232704402515723,0.7196230225513295,0.7198083067092652
Osteoporosis,clinic4_bmi,scalar,3130,159,0.050798722044728434,0.7702825425655552,0.06405639240441598,2144,827,47,112,0.7044025157232704,0.7216425445977785,0.7207667731629392
Osteoporosis,clinic4_smi,scalar,3130,159,0.050798722044728434,0.7724587151690662,0.06405639240441598,2135,836,46,113,0.710691823899371,0.718613261528105,0.7182108626198083
Osteoporosis,clinic4_vat,scalar,3130,159,0.050798722044728434,0.7694400165964915,0.06405639240441598,2142,829,46,113,0.710691823899371,0.7209693705822955,0.7204472843450479
Osteoporosis,clinic4_sat,scalar,3130,159,0.050798722044728434,0.7676724055809936,0.06405639240441598,2130,841,46,113,0.710691823899371,0.7169303264893975,0.7166134185303514
Osteoporosis,clinic4_imata,scalar,3130,159,0.050798722044728434,0.7691605858730833,0.06405639240441598,2137,834,46,113,0.710691823899371,0.7192864355435881,0.7188498402555911
Osteoporosis,clinic4_nama,scalar,3130,159,0.050798722044728434,0.7742728979717988,0.06405639240441598,2119,852,44,115,0.7232704402515723,0.713227869404241,0.7137380191693291
