feature,model,section,n,auc_baseline,auc_extended,auc_diff,z,p_value,q_value_bh
DL,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,0.5475047526061846,0.5400058374402049,-0.007498915165979669,-2.7580244912916343,0.005815184086010326,0.08362902340780592
DL,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,0.5475047526061846,0.5501077085205963,0.002602955914411731,0.42508334669861036,0.6707759174284837,0.9069646207483724
DL,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,0.5475047526061846,0.5572747161350979,0.00976996352891335,1.4075517509045887,0.15926384304460106,0.45671576162961075
DL,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,0.5475047526061846,0.5408110684065338,-0.0066936841996507734,-1.8847673896487913,0.059461249506817894,0.2989227598651704
DL,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,0.5475047526061846,0.545242744526754,-0.0022620080794305553,-1.8171796281742914,0.06918961323668107,0.31629537479625636
DL,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,0.5475047526061846,0.5293299083573546,-0.01817484424882998,-4.171461192709109,3.0265260600814852e-05,0.005810930035356452
DL,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,0.5475047526061846,0.5372827749021066,-0.010221977704077956,-3.7782668630505496,0.00015792359915793691,0.01070969057118159
DL,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,0.5475047526061846,0.5436045160090506,-0.0039002365971340103,-1.3459102622986148,0.178331458819443,0.4822484520187755
DL,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,0.5475047526061846,0.5438066309188028,-0.003698121687381817,-2.1048349698466904,0.03530567598355402,0.19937322908359914
DL,clinic4_aec_slope,curve_slope,3130,0.5475047526061846,0.5460182717044292,-0.0014864809017554048,-0.6415599507119637,0.5211589436615034,0.7940557852863649
DL,clinic4_vat_slope,curve_slope,3130,0.5475047526061846,0.5678060006818957,0.020301248075711098,2.338900048998724,0.019340606968610164,0.14853586151892606
DL,clinic4_sat_slope,curve_slope,3130,0.5475047526061846,0.5419578929423798,-0.0055468596638047485,-2.205327171356177,0.027431144496729624,0.18809927654900313
DL,clinic4_imata_slope,curve_slope,3130,0.5475047526061846,0.5455946698488464,-0.0019100827573381718,-1.7304943774716757,0.08354198491925258,0.3341679396770103
DL,clinic4_nama_slope,curve_slope,3130,0.5475047526061846,0.5470585500418436,-0.000446202564341025,-0.09672236621969613,0.922946877431397,0.9844766692601569
DL,clinic4_lama_slope,curve_slope,3130,0.5475047526061846,0.5345726270547273,-0.012932125551457285,-3.763817668390978,0.00016733891517471238,0.01070969057118159
