model,disease,term,coefficient,std_err,p_value,odds_ratio
clinic4_tama_fpca,HTN,sex_M,1.638818,0.33276,1e-06,5.149081
clinic4_tama_fpca,HTN,age,0.890368,0.12306,0.0,2.436027
clinic4_tama_fpca,HTN,height,-0.353934,0.161949,0.028855,0.701922
clinic4_tama_fpca,HTN,weight,0.846463,0.165234,0.0,2.331387
clinic4_tama_fpca,HTN,tama_fpca_pc1,-0.529948,0.180165,0.003267,0.588635
clinic4_tama_fpca,HTN,tama_fpca_pc2,0.020506,0.100883,0.838927,1.020718
clinic4_tama_fpca,DM,intercept,-0.484381,0.222625,0.029572,0.616078
clinic4_tama_fpca,DM,sex_M,1.041308,0.427795,0.014928,2.832919
clinic4_tama_fpca,DM,age,0.557967,0.146056,0.000133,1.747117
clinic4_tama_fpca,DM,height,-0.750447,0.205686,0.000264,0.472155
clinic4_tama_fpca,DM,weight,0.85606,0.207912,3.8e-05,2.353869
clinic4_tama_fpca,DM,tama_fpca_pc1,-0.063848,0.24284,0.79261,0.938147
clinic4_tama_fpca,DM,tama_fpca_pc2,0.068898,0.124818,0.580955,1.071327
clinic4_tama_fpca,CKD,intercept,-0.611903,0.388833,0.115559,0.542318
clinic4_tama_fpca,CKD,sex_M,1.093723,0.627923,0.081541,2.985368
clinic4_tama_fpca,CKD,age,0.806734,0.218691,0.000225,2.240577
clinic4_tama_fpca,CKD,height,-0.005213,0.30123,0.986192,0.9948
clinic4_tama_fpca,CKD,weight,0.360329,0.28703,0.209344,1.433801
clinic4_tama_fpca,CKD,tama_fpca_pc1,0.053832,0.3354,0.872486,1.055307
clinic4_tama_fpca,CKD,tama_fpca_pc2,-0.132545,0.190903,0.487493,0.875864
