rank,original_feature_index,feature
255,12451,smooth_visual__visual_norm_abs_slope_091_122_min
256,1437,smooth_norm__norm_curv_082_085_sd
257,13056,smooth_visual__visual_norm_curv_094_111_max
258,13190,smooth_visual__visual_norm_curv_085_108_sd
259,2069,smooth_norm__norm_curv_085_108_sd
260,12602,smooth_visual__visual_norm_curv_109_114_sd
261,1617,smooth_norm__norm_curv_094_101_sd
262,1465,smooth_norm__norm_curv_103_106_sd
263,12898,smooth_visual__visual_norm_curv_091_104_sd
264,12315,smooth_visual__visual_norm_abs_slope_094_117_min
265,12914,smooth_visual__visual_norm_curv_103_116_sd
266,13062,smooth_visual__visual_norm_curv_100_117_sd
267,2085,smooth_norm__norm_curv_097_120_sd
268,13206,smooth_visual__visual_norm_curv_097_120_sd
269,2861,smooth_norm__ratio_tail_114_128_over_recover_075_090
270,12894,smooth_visual__visual_norm_curv_088_101_sd
271,1777,smooth_norm__norm_curv_094_105_sd
272,9304,smooth_visual__visual_mid_flatness__early_037_060__mid_061_092__tail_113_124
273,8822,smooth_visual__visual_mid_flatness__early_033_064__mid_053_084__tail_109_120
274,10802,smooth_visual__visual_norm_slope_097_102_sd
275,1618,smooth_norm__norm_curv_094_101_min
276,2853,smooth_norm__ratio_tail_114_128_over_troughcore_070_085
277,2376,smooth_norm__norm_haar_b16_093_124
278,12742,smooth_visual__visual_norm_curv_091_100_sd
279,1790,smooth_norm__norm_curv_103_114_min
280,10450,smooth_visual__visual_mid_flatness__early_049_064__mid_053_084__tail_101_120
281,2075,smooth_norm__norm_curv_088_111_max
282,13196,smooth_visual__visual_norm_curv_088_111_max
283,2948,smooth_norm__late_091_128_argmin
284,12302,smooth_visual__visual_norm_abs_slope_085_108_sd
285,12586,smooth_visual__visual_norm_curv_097_102_sd
286,7600,smooth_visual__visual_mid_flatness__early_025_056__mid_053_084__tail_113_124
287,2062,smooth_norm__norm_curv_079_102_min
288,13183,smooth_visual__visual_norm_curv_079_102_min
289,11709,smooth_visual__visual_norm_abs_slope_109_114_mean
290,1917,smooth_norm__norm_curv_082_097_sd
291,11270,smooth_visual__visual_norm_slope_091_108_sd
292,1461,smooth_norm__norm_curv_100_103_sd
293,12743,smooth_visual__visual_norm_curv_091_100_min
294,10810,smooth_visual__visual_norm_slope_103_108_sd
295,8920,smooth_visual__visual_mid_flatness__early_033_064__mid_065_088__tail_113_124
296,12158,smooth_visual__visual_norm_abs_slope_088_105_sd
297,12911,smooth_visual__visual_norm_curv_100_113_min
298,1922,smooth_norm__norm_curv_085_100_min
299,13052,smooth_visual__visual_norm_curv_091_108_max
300,12916,smooth_visual__visual_norm_curv_103_116_max
301,578,smooth_norm__norm_slope_106_113_mean
302,11872,smooth_visual__visual_norm_abs_slope_106_115_max
303,1935,smooth_norm__norm_curv_094_109_max
304,9712,smooth_visual__visual_mid_flatness__early_041_056__mid_061_092__tail_113_124
