curve_prep,channels,kernel_sizes,dropout,embed_dim,augment_std,lr,weight_decay,batch_size,internal_oof_auc,delta_vs_clinic4
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.2,32,0.1,0.003,0.0001,64,0.6659126011483061,-0.0526495819762951
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.1,32,0.02,0.003,0.001,128,0.7060613437195715,-0.012500839405029662
raw,"(32, 64, 32)","(11, 9, 7)",0.1,16,0.0,0.0005,0.0001,64,0.7118700265251989,-0.006692156599402255
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.2,8,0.0,0.002,0.0001,64,0.7125037773226337,-0.006058405801967481
raw,"(16, 32, 16)","(7, 5, 3)",0.2,16,0.02,0.003,0.0001,64,0.6680950542255648,-0.05046712889903637
raw,"(64, 128, 64)","(11, 9, 7)",0.4,64,0.1,0.0003,1e-05,32,0.6950609408051573,-0.023501242319443838
raw,"(16, 32, 16)","(5, 3, 3)",0.4,64,0.02,0.002,0.0001,128,0.699346103481852,-0.019216079642749184
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.6,64,0.1,0.0003,0.0001,32,0.711402058221133,-0.007160124903468179
raw,"(64, 128, 64)","(11, 9, 7)",0.6,16,0.05,0.001,0.001,128,0.678465903367693,-0.040096279756908215
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.6,16,0.02,0.0003,0.0001,64,0.7135530336097774,-0.005009149514823785
raw,"(16, 32, 16)","(11, 9, 7)",0.2,64,0.02,0.0003,0.001,128,0.6699879125675721,-0.04857427055702912
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.2,64,0.02,0.002,1e-05,128,0.7114797031863815,-0.0070824799382196435
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.4,32,0.05,0.0005,0.001,128,0.7080885068663332,-0.010473676258268005
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.1,8,0.02,0.001,0.0001,64,0.7215231843669208,0.002961001242319572
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.4,64,0.1,0.003,0.001,64,0.7086551052613909,-0.009907077863210323
raw,"(64, 128, 64)","(15, 11, 7)",0.6,8,0.02,0.001,0.001,64,0.7114209448343014,-0.007141238290299778
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.4,32,0.02,0.003,1e-05,32,0.6974238659638049,-0.021138317160796283
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.1,64,0.0,0.0003,1e-05,32,0.6993544975321492,-0.019207685592452006
raw,"(64, 128, 64)","(11, 9, 7)",0.2,64,0.0,0.002,0.001,32,0.7089950642984253,-0.009567118826175891
raw,"(32, 64, 32)","(11, 9, 7)",0.4,8,0.02,0.0005,0.0001,128,0.6551388375919149,-0.06342334553268625
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,64,0.05,0.002,0.001,64,0.7105059933519121,-0.00805618977268907
raw,"(16, 32, 16)","(5, 3, 3)",0.1,64,0.05,0.0005,0.0001,64,0.6971426652788504,-0.021419517845750802
raw,"(64, 128, 64)","(15, 11, 7)",0.1,32,0.05,0.0003,1e-05,64,0.6523855890944498,-0.06617659403015141
