feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
CKD,clinic4_vatsat,internal,Revolution CT,317,15,0.8849889624724061,0.9333333333333333,0.695364238410596,0.7066246056782335
CKD,clinic4_vatsat,internal,Sensation 64,380,23,0.8419193764462307,0.9130434782608695,0.7142857142857143,0.7263157894736842
CKD,clinic4_vatsat_aec,external,iCT 256,135,20,0.7326086956521739,0.8,0.5826086956521739,0.6148148148148148
CKD,clinic4_vatsat_aec,external,Revolution EVO,149,39,0.575990675990676,0.6666666666666666,0.36363636363636365,0.4429530201342282
CKD,clinic4_vatsat_aec,external,SOMATOM Definition AS+,165,18,0.5816326530612246,0.6111111111111112,0.5238095238095238,0.5333333333333333
CKD,clinic4_vatsat_aec,external,SOMATOM Force,123,24,0.5934343434343434,0.5416666666666666,0.48484848484848486,0.4959349593495935
CKD,clinic4_vatsat_aec,external,LightSpeed VCT,50,4,0.7826086956521738,1.0,0.5652173913043478,0.6
CKD,clinic4_vatsat_aec,external,SOMATOM Definition Flash,228,44,0.6251235177865613,0.6590909090909091,0.5271739130434783,0.5526315789473685
CKD,clinic4_vatsat_aec,external,Sensation 64,48,10,0.6342105263157894,0.8,0.2894736842105263,0.3958333333333333
CKD,clinic4_vatsat_aec,internal,SOMATOM Definition AS+,180,31,0.7101104135094176,0.9354838709677419,0.4228187919463087,0.5111111111111111
CKD,clinic4_vatsat_aec,internal,Ingenuity Core 128,202,14,0.6580547112462005,0.7857142857142857,0.5904255319148937,0.6039603960396039
CKD,clinic4_vatsat_aec,internal,Revolution CT,317,15,0.905739514348786,0.9333333333333333,0.7119205298013245,0.722397476340694
CKD,clinic4_vatsat_aec,internal,Sensation 64,380,23,0.8526367068566557,0.9565217391304348,0.6470588235294118,0.6657894736842105
DM,clinic4,external,iCT 256,135,39,0.6794871794871794,0.6666666666666666,0.5729166666666666,0.6
DM,clinic4,external,Revolution EVO,149,57,0.6432112890922959,0.6140350877192983,0.5869565217391305,0.5973154362416108
DM,clinic4,external,SOMATOM Definition AS+,165,41,0.6424075531077891,0.7560975609756098,0.4435483870967742,0.5212121212121212
DM,clinic4,external,SOMATOM Force,123,33,0.7444444444444445,0.8181818181818182,0.5888888888888889,0.6504065040650406
DM,clinic4,external,LightSpeed VCT,50,9,0.7208672086720866,0.5555555555555556,0.7317073170731707,0.7
DM,clinic4,external,SOMATOM Definition Flash,228,78,0.6499999999999999,0.6923076923076923,0.5,0.5657894736842105
DM,clinic4,external,Sensation 64,48,17,0.6432637571157496,0.9411764705882353,0.2903225806451613,0.5208333333333334
DM,clinic4,internal,SOMATOM Definition AS+,180,44,0.68048128342246,0.8181818181818182,0.45588235294117646,0.5444444444444444
DM,clinic4,internal,Ingenuity Core 128,202,38,0.6784338896020539,0.7368421052631579,0.5853658536585366,0.6138613861386139
DM,clinic4,internal,Revolution CT,317,51,0.7408226448474127,0.6862745098039216,0.7030075187969925,0.7003154574132492
DM,clinic4,internal,Sensation 64,380,69,0.7487767370334126,0.7681159420289855,0.639871382636656,0.6631578947368421
DM,clinic4_meanmAs,external,iCT 256,135,39,0.6658653846153846,0.6410256410256411,0.6145833333333334,0.6222222222222222
DM,clinic4_meanmAs,external,Revolution EVO,149,57,0.6432112890922959,0.5964912280701754,0.6413043478260869,0.6241610738255033
DM,clinic4_meanmAs,external,SOMATOM Definition AS+,165,41,0.6471282454760032,0.7560975609756098,0.5,0.5636363636363636
