feature,model,cohort,scanner,n,n_pos,auc
SAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,165,24,0.8085106382978724
SAT_TotalFat_ratio,clinic4_aec_best,external,iCT 256,135,19,0.7899274047186933
SAT_TAMA_ratio,clinic4,internal,Revolution CT,317,52,0.8124092888243832
SAT_TAMA_ratio,clinic4,internal,Sensation 64,380,37,0.7936332834292018
SAT_TAMA_ratio,clinic4,internal,SOMATOM Definition AS+,180,17,0.717069649945868
SAT_TAMA_ratio,clinic4,internal,Ingenuity Core 128,202,7,0.8703296703296702
SAT_TAMA_ratio,clinic4,external,Revolution EVO,149,19,0.7056680161943318
SAT_TAMA_ratio,clinic4,external,LightSpeed VCT,50,3,0.6666666666666667
SAT_TAMA_ratio,clinic4,external,SOMATOM Definition Flash,228,33,0.8814296814296815
SAT_TAMA_ratio,clinic4,external,Sensation 64,48,6,0.773809523809524
SAT_TAMA_ratio,clinic4,external,SOMATOM Force,123,16,0.8019859813084113
SAT_TAMA_ratio,clinic4,external,SOMATOM Definition AS+,165,23,0.880281690140845
SAT_TAMA_ratio,clinic4,external,iCT 256,135,23,0.8059006211180124
SAT_TAMA_ratio,clinic4_aec_best,internal,Revolution CT,317,52,0.8452104499274311
SAT_TAMA_ratio,clinic4_aec_best,internal,Sensation 64,380,37,0.8202663304704121
SAT_TAMA_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,180,17,0.7365571995669433
SAT_TAMA_ratio,clinic4_aec_best,internal,Ingenuity Core 128,202,7,0.9091575091575091
SAT_TAMA_ratio,clinic4_aec_best,external,Revolution EVO,149,19,0.7619433198380566
SAT_TAMA_ratio,clinic4_aec_best,external,LightSpeed VCT,50,3,0.7801418439716312
SAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,228,33,0.8755244755244755
SAT_TAMA_ratio,clinic4_aec_best,external,Sensation 64,48,6,0.7777777777777778
SAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Force,123,16,0.8358644859813084
SAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,165,23,0.9173300673606859
SAT_TAMA_ratio,clinic4_aec_best,external,iCT 256,135,23,0.8676242236024845
