feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
sat_total_fat,internal,aec_segment,seg8_2,8.0,2.0,-0.076337331033005,0.04348377315163148,700
sat_total_fat,internal,aec_segment,seg8_3,8.0,3.0,-0.18395419695539944,9.576432129353675e-07,700
sat_total_fat,internal,aec_segment,seg8_4,8.0,4.0,-0.2867580806346502,1.0227183815853782e-14,700
sat_total_fat,internal,aec_segment,seg8_5,8.0,5.0,-0.4145486639794972,1.9022841898272915e-30,700
sat_total_fat,internal,aec_segment,seg8_6,8.0,6.0,-0.45097556762578406,2.291789773499266e-36,700
sat_total_fat,internal,aec_segment,seg8_7,8.0,7.0,-0.4208230880705459,2.0441161669670608e-31,700
sat_total_fat,internal,aec_segment,seg8_8,8.0,8.0,-0.36812770051567,6.883578347789945e-24,700
sat_tama,internal,aec_segment,seg8_1,8.0,1.0,0.2852387211095918,1.4303633385947928e-14,700
sat_tama,internal,aec_segment,seg8_2,8.0,2.0,0.32691815959946485,6.74017061836565e-19,700
sat_tama,internal,aec_segment,seg8_3,8.0,3.0,0.3935029178244698,2.412452219974348e-27,700
sat_tama,internal,aec_segment,seg8_4,8.0,4.0,0.47478902047845667,1.2147260423476975e-40,700
sat_tama,internal,aec_segment,seg8_5,8.0,5.0,0.5217127258587284,4.039101534391017e-50,700
sat_tama,internal,aec_segment,seg8_6,8.0,6.0,0.4966850131966787,6.990792248765239e-45,700
sat_tama,internal,aec_segment,seg8_7,8.0,7.0,0.45340895031100836,8.681048476653347e-37,700
sat_tama,internal,aec_segment,seg8_8,8.0,8.0,0.4138183812986137,2.4586999152275294e-30,700
total_fat_tama,internal,aec_segment,seg8_1,8.0,1.0,0.25468502203864635,7.953341161086e-12,700
total_fat_tama,internal,aec_segment,seg8_2,8.0,2.0,0.3135579881308149,1.9568502838441467e-17,700
total_fat_tama,internal,aec_segment,seg8_3,8.0,3.0,0.4102429382111933,8.556851513706779e-30,700
total_fat_tama,internal,aec_segment,seg8_4,8.0,4.0,0.5218825702743837,3.7087539744485506e-50,700
total_fat_tama,internal,aec_segment,seg8_5,8.0,5.0,0.6096255418647265,1.852387824895207e-72,700
total_fat_tama,internal,aec_segment,seg8_6,8.0,6.0,0.5981598438046137,3.8019051399203377e-69,700
total_fat_tama,internal,aec_segment,seg8_7,8.0,7.0,0.5461359285461225,1.1367157084143103e-55,700
total_fat_tama,internal,aec_segment,seg8_8,8.0,8.0,0.4895716372956115,1.8020445798357646e-43,700
sat,external,aec_segment,seg8_1,8.0,1.0,0.45060756343515207,2.8321213459200085e-26,498
sat,external,aec_segment,seg8_2,8.0,2.0,0.48711821184752213,4.892754967782143e-31,498
sat,external,aec_segment,seg8_3,8.0,3.0,0.5089527165381565,3.5890632609669716e-34,498
sat,external,aec_segment,seg8_4,8.0,4.0,0.5297666487100936,2.2308240356916955e-37,498
sat,external,aec_segment,seg8_5,8.0,5.0,0.5621601850994205,7.805041341856872e-43,498
sat,external,aec_segment,seg8_6,8.0,6.0,0.5503643177885109,8.879526743753611e-41,498
sat,external,aec_segment,seg8_7,8.0,7.0,0.5031732769649702,2.5515124542440212e-33,498
sat,external,aec_segment,seg8_8,8.0,8.0,0.5063033923755355,8.860930776556836e-34,498
vat,external,aec_segment,seg8_1,8.0,1.0,0.2147275339788439,1.3226095214202048e-06,498
vat,external,aec_segment,seg8_2,8.0,2.0,0.27132873287286463,7.480415859753677e-10,498
vat,external,aec_segment,seg8_3,8.0,3.0,0.3405873158647157,5.439234381483269e-15,498
vat,external,aec_segment,seg8_4,8.0,4.0,0.40297950978055497,7.217217820872067e-21,498
vat,external,aec_segment,seg8_5,8.0,5.0,0.5056653862030649,1.1002400774443126e-33,498
vat,external,aec_segment,seg8_6,8.0,6.0,0.5376057962955613,1.2078952985667297e-38,498
vat,external,aec_segment,seg8_7,8.0,7.0,0.4960155942226947,2.7507468661144186e-32,498
vat,external,aec_segment,seg8_8,8.0,8.0,0.4848550417718728,1.003983225713903e-30,498
total_fat,external,aec_segment,seg8_1,8.0,1.0,0.4041571635445363,5.430475069710126e-21,498
total_fat,external,aec_segment,seg8_2,8.0,2.0,0.45061796069944793,2.8238112466240116e-26,498
total_fat,external,aec_segment,seg8_3,8.0,3.0,0.49078973814521726,1.507081803804374e-31,498
total_fat,external,aec_segment,seg8_4,8.0,4.0,0.5278142958113659,4.557781811316331e-37,498
total_fat,external,aec_segment,seg8_5,8.0,5.0,0.5873899034733517,1.610026380463945e-47,498
total_fat,external,aec_segment,seg8_6,8.0,6.0,0.5899496429896073,5.107950019907243e-48,498
total_fat,external,aec_segment,seg8_7,8.0,7.0,0.5409409299714102,3.412549064480617e-39,498
total_fat,external,aec_segment,seg8_8,8.0,8.0,0.5393224469256497,6.313078235862909e-39,498
vat_sat,external,aec_segment,seg8_1,8.0,1.0,-0.14820535236041885,0.0009087108160000123,498
vat_sat,external,aec_segment,seg8_2,8.0,2.0,-0.11090266536377821,0.013274524233909261,498
vat_sat,external,aec_segment,seg8_3,8.0,3.0,-0.04351276284799872,0.3325222691643864,498
vat_sat,external,aec_segment,seg8_4,8.0,4.0,0.008781281959986344,0.8450221592246444,498
vat_sat,external,aec_segment,seg8_5,8.0,5.0,0.08509051189006062,0.05775626275207354,498
vat_sat,external,aec_segment,seg8_6,8.0,6.0,0.12819518407066474,0.004164364880941202,498
vat_sat,external,aec_segment,seg8_7,8.0,7.0,0.12580998522858783,0.0049282105012551205,498
vat_sat,external,aec_segment,seg8_8,8.0,8.0,0.11388156228886936,0.010982237929734498,498
vat_total_fat,external,aec_segment,seg8_1,8.0,1.0,-0.1384026848061054,0.0019632769669091672,498
vat_total_fat,external,aec_segment,seg8_2,8.0,2.0,-0.09576582287386146,0.03262693789797121,498
