feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold_youden,sensitivity_youden,specificity_youden,accuracy_youden,threshold_se90,sensitivity_se90,specificity_se90,accuracy_se90
TotalFat_TAMA_ratio,clinic4,external,498,127,0.25502008032128515,0.7756223868242884,0.7271316994563201,0.8201965433855026,0.17991460526817962,0.6377952755905512,0.7681940700808625,0.7349397590361446,0.0768491880790394,0.8503937007874016,0.49326145552560646,0.5843373493975904
TotalFat_TAMA_ratio,clinic4_aec_best,internal,700,110,0.15714285714285714,0.8328967642526964,0.7930900058756478,0.8701143678001867,0.18671386437845605,0.7181818181818181,0.811864406779661,0.7971428571428572,0.0670567557221205,0.9,0.5457627118644067,0.6014285714285714
TotalFat_TAMA_ratio,clinic4_aec_best,external,498,127,0.25502008032128515,0.8277267228388904,0.7862669548738519,0.8665406799774941,0.18671386437845605,0.41732283464566927,0.9514824797843666,0.8152610441767069,0.0670567557221205,0.7637795275590551,0.7169811320754716,0.7289156626506024
SAT_TotalFat_ratio,clinic4,internal,700,106,0.15142857142857144,0.7989962518264405,0.7526120499783284,0.840964917192238,0.1359544896726975,0.7735849056603774,0.6851851851851852,0.6985714285714286,0.07897770881471419,0.9056603773584906,0.5,0.5614285714285714
SAT_TotalFat_ratio,clinic4,external,498,51,0.10240963855421686,0.7914637890950563,0.7326316144087011,0.8430498434613986,0.1359544896726975,0.7058823529411765,0.7225950782997763,0.7208835341365462,0.07897770881471419,0.9019607843137255,0.5749440715883669,0.608433734939759
SAT_TotalFat_ratio,clinic4_aec_best,internal,700,106,0.15142857142857144,0.8246299472714567,0.7831017184273034,0.8622740721729059,0.14525544864675885,0.7830188679245284,0.7323232323232324,0.74,0.08073920560536701,0.9056603773584906,0.5757575757575758,0.6257142857142857
SAT_TotalFat_ratio,clinic4_aec_best,external,498,51,0.10240963855421686,0.808966092029653,0.7527444425471786,0.8599628386791537,0.14525544864675885,0.8627450980392157,0.6711409395973155,0.6907630522088354,0.08073920560536701,0.9215686274509803,0.49440715883668906,0.5381526104417671
SAT_TAMA_ratio,clinic4,internal,700,108,0.15428571428571428,0.7673141891891891,0.720363181558293,0.813950965719456,0.1569002781415223,0.7037037037037037,0.7077702702702703,0.7071428571428572,0.07257878943773874,0.9074074074074074,0.38175675675675674,0.46285714285714286
SAT_TAMA_ratio,clinic4,external,498,108,0.21686746987951808,0.7487179487179486,0.6930649387407103,0.8003801931042885,0.1569002781415223,0.6574074074074074,0.7333333333333333,0.7168674698795181,0.07257878943773874,0.8796296296296297,0.41794871794871796,0.5180722891566265
SAT_TAMA_ratio,clinic4_aec_best,internal,700,108,0.15428571428571428,0.8038663663663664,0.7614164159093209,0.8426043738505714,0.09610393001181007,0.8703703703703703,0.606418918918919,0.6471428571428571,0.07553740387468565,0.9074074074074074,0.5,0.5628571428571428
