config,threshold_R1,threshold_R2,threshold_R3,threshold_R4,pattern_mask,patterns,n_patterns,survives_internal_constraints,internal_selection_score,internal_min_p_loss,internal_max_sens_loss,internal_min_spec_gain,internal_mean_spec_gain,internal_max_fisher_p,internal_min_deesc_n,internal_mean_event_rate
direct_vote_guarded,0.55,0.65,0.55,0.65,148,"-+--,--+-,+++-",3,True,0.14411351629043634,0.0625,0.03875968992248058,0.043704474505723234,0.04849115504682624,0.009058961157600968,44,0.05989403453689168
direct_vote_balanced,0.65,0.65,0.65,0.55,1168,"--+-,+++-,-+-+",3,True,0.1440354722901339,0.125,0.03100775193798455,0.04162330905306977,0.04807492195629552,0.005119032419450764,42,0.06128998407873788
direct_vote_balanced,0.5,0.5,0.5,0.5,50176,"-+-+,-+++,++++",3,True,0.14401882904146257,0.5,0.015503875968992276,0.03642039542143605,0.04516129032258065,0.0008605953472912174,36,0.039925337452646294
direct_vote_guarded,0.65,0.65,0.55,0.65,1552,"--+-,+--+,-+-+",3,True,0.14397495044973152,0.0625,0.03875968992248069,0.043704474505723234,0.05244536940686784,0.008121868365616576,47,0.08108517999528571
direct_vote_guarded,0.55,0.55,0.55,0.55,1168,"--+-,+++-,-+-+",3,True,0.14396565467565467,0.125,0.03100775193798455,0.04162330905306977,0.04849115504682624,0.0042919587102383345,43,0.06379983250415143
direct_vote_balanced,0.7,0.7,0.7,0.7,84,"-+--,--+-,-++-",3,True,0.143732969640644,0.125,0.03100775193798455,0.04058272632674298,0.049323621227887623,0.0025815920706037574,42,0.05670923340096272
direct_vote_guarded,0.55,0.65,0.65,0.75,148,"-+--,--+-,+++-",3,True,0.1435960002972965,0.125,0.03100775193798455,0.04162330905306977,0.04765868886576483,0.009849150847917756,44,0.060505050505050506
direct_vote_guarded,0.65,0.65,0.65,0.65,84,"-+--,--+-,-++-",3,True,0.14334437195976435,0.0625,0.03875968992248058,0.043704474505723234,0.049323621227887623,0.0052007492955931465,46,0.06760809295005943
direct_vote_guarded,0.75,0.65,0.65,0.65,1040,"--+-,-+-+",2,True,0.1433108479283709,0.0625,0.03875968992248069,0.04474505723205002,0.04869927159209162,0.025997667906047846,46,0.07531881019657886
direct_vote_balanced,0.5,0.5,0.5,0.5,17424,"--+-,-+-+,-+++",3,True,0.14228769481056794,0.25,0.023255813953488413,0.0395421436004163,0.04328824141519252,0.01856829079419009,40,0.04524740582563145
direct_vote_guarded,0.65,0.75,0.55,0.65,1104,"--+-,-++-,-+-+",3,True,0.14216829021399444,0.0625,0.03875968992248069,0.042663891779396446,0.05327783558792924,0.011800660238295471,46,0.07985934901401757
