delta_auc,delta_sens,delta_spec,delta_ppv,delta_npv,delta_fp,delta_tp
0.004638691786966742,-0.024590163934426257,0.14800995024875618,0.07116745003085978,0.0004428904428903646,-119,-3
0.011320164790701082,-0.01449275362318836,0.13071065989847708,0.0668044077134986,0.00499895289582486,-103,-2
0.015371741768126834,-0.006451612903225823,0.09987029831387806,0.05476410430949258,0.004234789600643274,-77,-1
0.025981461286804786,-0.02857142857142858,0.11195928753180662,0.045878136200716874,0.00010647123280371762,-88,-4
0.007843280648670459,-0.03597122302158273,0.11944091486658193,0.05957909479581308,-0.002123920278203628,-94,-5
0.0060583239195013405,-0.006451612903225823,0.1400778210116731,0.09493654886495778,0.0034799544335427646,-108,-1
0.005101861608710956,-0.03424657534246578,0.1217948717948717,0.05650749374598746,-0.0009775808133473118,-95,-5
0.004050089203426088,-0.045751633986928164,0.11384217335058211,0.054159850432344,-0.009032921290561768,-88,-7
0.009202701829228888,-0.01851851851851849,0.1413612565445026,0.07468140641793336,0.0026865671641791433,-108,-3
0.005063901615625754,-0.020979020979021046,0.12388250319284799,0.06859866888709576,-0.0018414018414018019,-97,-3
0.009370874730771805,-0.006756756756756688,0.12596401028277626,0.07457963640876092,0.006329959333907231,-98,-1
0.003064152942734877,-0.020689655172413834,0.11651728553137009,0.06201563610518834,-0.0002184212511964212,-91,-3
0.0012639357013222163,-0.02631578947368418,0.10960591133004927,0.0508221817509964,2.8264556246493378e-05,-89,-3
0.014551883584931313,0.0,0.1188630490956073,0.07030786143002427,0.007814520955193971,-92,0
0.004618560660617388,0.0,0.11194968553459117,0.06742424242424239,0.004458758275183383,-89,0
0.008706435077240116,-0.020408163265306145,0.1450577663671373,0.08513014763014765,0.000950960850843674,-113,-3
0.013850115191760493,-0.014184397163120477,0.11847133757961781,0.06906119059303162,0.002074445470671926,-93,-2
0.011493577694235535,-0.03125,0.11654135338345872,0.05086291149197872,0.000677304557456071,-93,-4
0.0074107142857143815,-0.023809523809523836,0.13374999999999992,0.06762646636064357,-0.002306868642333093,-107,-3
0.007386056566384358,-0.007518796992481147,0.13745271122320302,0.07675893330761441,0.003699466056445444,-109,-1
0.01289809890580107,-0.013605442176870763,0.12323491655969199,0.06506418888589643,0.0038535800482702998,-96,-2
0.014111048593807185,-0.027972027972027913,0.10983397190293742,0.05447928331466967,-0.0022652785810680642,-86,-4
0.006217634679032136,-0.03401360544217691,0.13350449293966615,0.06731805929919138,-0.00240374904052032,-104,-5
0.009440572003449277,-0.07746478873239437,0.1071428571428571,0.04542963202870026,-0.01473684210526316,-84,-11
0.009755629170867475,-0.022900763358778553,0.13459119496855343,0.060327805783277066,0.003891894497126347,-107,-3
0.012099284158107682,-0.00588235294117645,0.115079365079365,0.06482260606153328,0.0057665903890159464,-87,-1
0.018397411237582317,-0.022598870056497078,0.12149532710280375,0.06660360170976104,-0.0008719016352604081,-91,-4
0.007173292129044384,-0.0444444444444444,0.1276864728192162,0.05903385361984087,-0.00481795784286887,-101,-6
0.017807357541139712,0.006578947368421129,0.1020671834625323,0.058607051695604595,0.009321989915483275,-79,1
0.010338530692513004,0.0,0.11125158027812898,0.05945000794786204,0.005585528403681428,-88,0
0.008760974346164851,-0.04379562043795626,0.12801013941698347,0.05445338360698859,-0.0034328149082247794,-101,-6
0.005407669396872761,-0.022058823529411797,0.10253164556962024,0.0556318681318681,-0.0015857889486144972,-81,-3
0.008350525591904967,-0.04195804195804198,0.1238825031928481,0.05766271645767301,-0.0034403941821747885,-97,-6
0.005342605156038016,-0.02985074626865669,0.13510101010101017,0.06420975386762268,0.0018919848641210102,-107,-4
0.005656791702188135,-0.04166666666666663,0.12148337595907921,0.053628403083443965,-0.0008710188968136245,-95,-6
0.007004729128622933,-0.051851851851851816,0.1289506953223768,0.06450119492999334,-0.007691567050319148,-102,-7
0.02461596782700426,-0.025316455696202445,0.1171875,0.06255579246624027,0.0005798091395393667,-90,-4
0.009780578898225922,-0.04705882352941182,0.1164021164021164,0.05277095671433385,-0.003986983670956623,-88,-8
0.009260982874162327,0.0,0.1240506329113924,0.06590413943355122,0.005961070559610704,-98,0
0.007030982579815492,-0.007299270072992803,0.09632446134347272,0.04509810031263306,0.0040089143911061775,-76,-1
0.014511155450752766,-0.01342281879194629,0.11840411840411835,0.07253753321169054,0.002979300370604676,-92,-2
